Message,Actual_Label,Predicted_Label
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",ham,ham
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",ham,ham
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",spam,ham
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,ham,ham
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam
"I'll text carlos and let you know, hang on",ham,ham
K.i did't see you.:)k:)where are you now?,ham,ham
No message..no responce..what happend?,ham,ham
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,ham
You flippin your shit yet?,ham,ham
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,ham,ham
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam,spam
I'm wif him now buying tix lar...,ham,ham
Call me when u finish then i come n pick u.,ham,ham
Dear how is chechi. Did you talk to her,ham,ham
What's up. Do you want me to come online?,ham,ham
Were somewhere on Fredericksburg,ham,ham
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam,spam
When can Ì_ come out?,ham,ham
"K, if u bored up just come to my home..",ham,ham
Can Ì_ call me at 10:10 to make sure dat i've woken up...,ham,ham
Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),ham,ham
A bloo bloo bloo I'll miss the first bowl,ham,ham
"Yeah sure, give me a couple minutes to track down my wallet",ham,ham
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam,spam
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,ham,ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,ham
"Gud gud..k, chikku tke care.. sleep well gud nyt",ham,ham
I'll reach in ard 20 mins ok...,ham,ham
Wat Ì_ doing now?,ham,ham
Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.,ham,ham
Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,ham,ham
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam,ham
Can you pls send me that company name. In saibaba colany,ham,ham
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",ham,ham
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham,ham
Yeah it's jus rite...,ham,ham
Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,ham,ham
I know you mood off today,ham,ham
Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,ham,ham
"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",ham,ham
Lol ... I knew that .... I saw him in the dollar store,ham,ham
